Beacon Rssi
1 -63
1 -70
1 -70
1 -71
1 -69
1 -70
1 -69
1 -69
1 -74
1 -72
1 -70
1 -69
1 -69
1 -70
1 -70
1 -70
1 -70
1 -70
1 -70
1 -71
1 -71
1 -70
1 -69
1 -70
1 -70
1 -71
1 -70
1 -71
1 -70
1 -71
1 -69
1 -69
1 -68
1 -68
1 -68
1 -69
1 -70
1 -71
1 -70
1 -70
1 -70
1 -69
1 -69
1 -70
1 -72
1 -73
1 -72
1 -71
1 -70
1 -72
1 -72
1 -70
1 -70
1 -71
1 -68
1 -68
1 -54
1 -68
1 -67
1 -68
1 -68
1 -68
1 -68
1 -67
1 -68
1 -68
1 -68
1 -69
1 -69
1 -69
1 -68
1 -67
1 -67
1 -67
1 -68
1 -69
1 -70
1 -70
1 -70
1 -75
1 -65
1 -69
1 -70
2 -68
2 -61
2 -60
2 -58
2 -57
2 -56
2 -57
2 -59
2 -58
2 -57
2 -58
2 -58
2 -58
2 -59
2 -58
2 -58
2 -58
2 -58
2 -58
2 -58
2 -59
2 -59
2 -58
2 -56
2 -57
2 -56
2 -57
2 -57
2 -56
2 -56
2 -55
2 -55
2 -55
2 -55
2 -55
2 -56
2 -55
2 -55
2 -56
2 -55
2 -55
2 -55
2 -56
2 -56
2 -56
2 -55
2 -55
2 -54
2 -54
2 -55
2 -56
2 -56
2 -57
2 -56
2 -58
2 -55
2 -56
2 -57
2 -60
2 -61
2 -60
2 -60
2 -60
2 -59
2 -60
2 -60
2 -60
2 -59
2 -59
2 -58
2 -59
2 -59
2 -60
2 -59
2 -60
2 -59
2 -59
2 -58
2 -58
2 -60
2 -59
2 -59
2 -59
2 -59
2 -54
2 -58
2 -54
2 -54
3 -74
3 -76
3 -68
3 -70
3 -67
3 -68
3 -67
3 -69
3 -68
3 -67
3 -68
3 -68
3 -68
3 -67
3 -67
3 -66
3 -66
3 -66
3 -60
3 -65
3 -66
3 -67
3 -69
3 -70
3 -69
3 -63
3 -70
3 -70
3 -70
3 -71
3 -72
3 -71
3 -71
3 -70
3 -70
3 -70
3 -70
3 -48
3 -70
3 -70
3 -70
3 -70
3 -70
3 -70
3 -70
3 -76
3 -74
3 -74
3 -72
3 -70
3 -68
3 -68
3 -69
3 -74
3 -74
3 -78
3 -76
3 -76
3 -82
3 -81
3 -73
3 -73
3 -76
3 -74
3 -70
3 -71
3 -72
3 -72
3 -73
3 -71
3 -70
3 -70
3 -70
3 -70
3 -70
3 -72
3 -73
3 -72
3 -71
3 -70
3 -70
3 -69
3 -68
3 -68
3 -68
3 -76
3 -76
3 -66
3 -67
4 -71
4 -71
4 -72
4 -72
