Beacon Rssi
1 -79
1 -83
1 -76
1 -78
1 -79
1 -76
1 -81
1 -82
1 -78
1 -78
1 -78
1 -76
1 -77
1 -77
1 -76
1 -76
1 -77
1 -78
1 -76
1 -69
1 -77
1 -74
2 -82
2 -78
2 -78
2 -70
2 -71
2 -76
2 -76
2 -83
2 -76
2 -78
2 -83
2 -80
2 -78
2 -78
2 -82
2 -86
2 -80
2 -81
2 -77
2 -76
2 -77
2 -78
2 -79
2 -80
2 -80
3 -74
3 -72
3 -73
3 -72
3 -71
3 -73
3 -76
3 -72
3 -76
3 -81
3 -75
3 -73
3 -72
3 -73
3 -75
3 -74
3 -73
3 -72
3 -72
3 -73
3 -72
3 -74
3 -74
3 -75
3 -76
3 -76
3 -73
3 -73
3 -73
3 -73
3 -73
3 -72
3 -73
3 -73
3 -74
3 -72
3 -78
3 -78
3 -75
3 -76
3 -79
3 -76
4 -75
4 -76
4 -74
4 -72
4 -76
4 -78
4 -81
4 -77
4 -73
4 -70
4 -76
4 -76
4 -76
4 -83
4 -72
4 -83
5 -70
5 -70
5 -70
5 -71
5 -68
5 -68
5 -67
5 -65
5 -64
5 -66
5 -72
5 -73
5 -75
5 -74
5 -72
5 -73
5 -74
5 -75
5 -74
5 -75
5 -72
5 -72
5 -72
5 -75
5 -75
5 -75
5 -75
5 -75
5 -74
5 -73
5 -72
5 -71
5 -71
5 -71
5 -71
5 -70
5 -70
5 -71
5 -71
5 -72
5 -73
5 -73
5 -74
5 -74
5 -73
5 -73
6 -69
6 -67
6 -73
6 -63
6 -66
6 -76
6 -77
6 -68
6 -62
6 -63
6 -66
6 -64
6 -64
6 -63
6 -64
6 -63
6 -63
6 -65
6 -68
6 -68
6 -64
6 -63
6 -62
6 -64
6 -66
6 -66
6 -67
6 -66
6 -66
6 -66
6 -64
6 -63
6 -64
6 -64
6 -64
6 -63
6 -64
6 -64
6 -64
6 -64
6 -53
6 -53
6 -53
6 -53
6 -53
6 -53
6 -53
7 -75
7 -76
7 -76
7 -68
7 -68
7 -68
7 -68
7 -66
7 -67
7 -67
7 -67
7 -70
7 -69
7 -64
7 -67
7 -70
7 -70
7 -70
7 -69
7 -69
7 -70
7 -70
7 -70
7 -70
7 -71
7 -70
7 -70
7 -70
7 -70
7 -70
7 -70
7 -69
7 -70
7 -70
7 -69
7 -69
7 -68
7 -69
7 -70
7 -69
7 -69
7 -68
7 -66
7 -66
7 -66
7 -69
7 -66
7 -67
7 -66
7 -66
8 -80
8 -80
8 -79
8 -80
8 -80
8 -85
8 -84
8 -83
8 -79
8 -80
8 -85
8 -84
9 -83
9 -81
9 -79
9 -75
9 -76
9 -74
9 -76
9 -81
9 -76
9 -78
9 -77
9 -76
9 -80
9 -79
9 -78
9 -82
9 -81
9 -82
9 -80
9 -82
9 -81
9 -80
9 -82
9 -78
9 -77
9 -78
9 -78
9 -78
10 -84
10 -78
10 -79
10 -81
10 -85
10 -81
10 -77
10 -78
10 -78
10 -77
10 -78
10 -77
10 -76
10 -76
10 -76
10 -77
10 -77
10 -76
10 -76
10 -74
10 -82
10 -81
10 -80
10 -79
11 -75
11 -75
11 -81
11 -77
11 -72
11 -70
11 -70
11 -70
11 -70
11 -71
11 -70
11 -75
11 -72
11 -71
11 -72
11 -73
11 -74
11 -76
11 -76
11 -76
11 -78
11 -78
11 -76
11 -74
11 -76
11 -77
11 -78
11 -80
12 -76
12 -72
12 -74
12 -76
12 -81
12 -79
12 -61
12 -68
12 -70
12 -64
12 -67
12 -64
12 -66
12 -72
12 -74
12 -74
12 -76
12 -75
12 -75
12 -74
12 -72
12 -74
12 -72
12 -69
12 -71
12 -70
12 -70
12 -70
12 -71
12 -78
12 -75
12 -71
12 -70
12 -70
12 -71
12 -70
12 -72
12 -73
12 -74
12 -72
13 -85
15 -83
15 -87
15 -81
15 -79
15 -79
15 -79
15 -79
15 -82
15 -82
15 -83
15 -83
15 -82
16 -78
16 -78
16 -78
16 -76
16 -76
16 -78
16 -83
16 -84
16 -85
16 -83
16 -82
16 -81
16 -81
16 -81
18 -79
18 -80
18 -79
18 -81
18 -80
18 -83
18 -82
18 -84
18 -83
18 -83
18 -84
18 -82
18 -83
18 -84
21 -85
21 -83
21 -81
21 -82
21 -86
22 -83
22 -78
22 -64
22 -79
