Beacon Rssi
1 -84
1 -82
1 -83
2 -54
2 -87
3 -76
3 -81
3 -78
3 -82
3 -84
3 -82
4 -83
4 -80
4 -80
4 -79
4 -81
4 -79
4 -83
4 -82
4 -80
4 -78
4 -80
4 -82
4 -81
4 -83
4 -80
4 -83
4 -80
4 -81
4 -79
4 -78
4 -78
4 -78
4 -78
4 -76
4 -76
4 -78
4 -77
4 -80
4 -80
5 -85
6 -77
6 -70
6 -78
6 -77
6 -75
6 -78
6 -84
6 -84
6 -78
6 -81
6 -82
6 -82
6 -81
6 -84
6 -81
6 -74
6 -80
6 -82
6 -81
6 -81
6 -81
6 -87
6 -75
6 -77
6 -76
6 -76
7 -77
7 -78
7 -78
7 -80
7 -81
7 -80
7 -85
7 -78
7 -76
7 -74
7 -75
7 -76
7 -78
7 -78
7 -78
7 -69
7 -76
7 -78
7 -79
7 -79
7 -82
7 -78
7 -83
8 -84
8 -87
8 -86
8 -85
11 -81
11 -79
11 -78
11 -79
11 -83
11 -84
11 -81
11 -81
11 -83
11 -81
11 -84
11 -78
11 -75
11 -75
11 -74
11 -78
11 -79
11 -77
11 -80
11 -78
11 -74
11 -80
11 -76
11 -76
11 -75
11 -78
11 -81
11 -80
11 -81
11 -81
12 -77
12 -76
12 -78
12 -78
12 -76
12 -78
12 -76
12 -77
12 -77
12 -78
12 -77
12 -77
12 -77
12 -77
12 -76
12 -77
12 -78
12 -76
12 -78
12 -76
12 -78
12 -76
12 -78
12 -77
12 -85
12 -83
12 -80
12 -78
12 -82
12 -80
12 -83
12 -85
12 -79
13 -81
13 -59
13 -78
13 -83
13 -81
13 -81
13 -84
13 -80
13 -78
13 -79
13 -79
13 -79
13 -79
13 -78
13 -78
13 -80
13 -79
13 -80
13 -81
13 -80
13 -84
13 -88
13 -84
13 -85
13 -83
13 -82
13 -81
13 -80
14 -79
14 -79
14 -77
14 -65
14 -77
14 -79
14 -81
14 -78
14 -82
14 -81
14 -81
14 -79
14 -79
14 -78
14 -78
14 -79
14 -78
14 -78
14 -76
14 -78
14 -78
14 -76
14 -76
14 -78
14 -76
14 -76
14 -76
14 -77
14 -78
14 -78
14 -77
14 -76
14 -78
14 -78
14 -79
14 -83
14 -81
15 -84
15 -73
15 -78
15 -75
15 -79
15 -79
15 -77
15 -78
15 -72
15 -76
15 -72
15 -72
15 -72
15 -73
15 -74
15 -73
15 -74
15 -75
15 -74
15 -74
15 -74
15 -74
15 -74
15 -75
15 -75
15 -76
15 -75
15 -76
15 -76
15 -76
15 -75
15 -74
15 -73
15 -74
15 -74
15 -75
15 -75
15 -75
15 -74
15 -74
15 -73
15 -74
15 -74
15 -76
15 -76
15 -73
15 -72
15 -76
15 -76
15 -80
15 -79
16 -72
16 -70
16 -73
16 -76
16 -77
16 -75
16 -78
16 -78
16 -78
16 -74
16 -78
16 -79
16 -77
16 -76
16 -78
16 -77
16 -78
16 -77
16 -82
16 -81
16 -78
16 -79
16 -80
16 -78
16 -77
16 -78
16 -77
16 -78
16 -76
16 -76
16 -77
16 -76
16 -75
16 -76
17 -70
17 -72
17 -65
17 -68
17 -68
17 -70
17 -70
17 -70
17 -69
17 -66
17 -67
17 -68
17 -67
17 -68
17 -67
17 -67
17 -67
17 -67
17 -67
17 -67
17 -67
17 -67
17 -68
17 -68
17 -68
17 -67
17 -66
17 -67
17 -66
17 -65
17 -66
17 -66
17 -66
17 -66
17 -66
17 -66
17 -68
17 -67
17 -68
17 -66
17 -68
17 -67
17 -66
17 -69
17 -67
17 -68
17 -67
17 -68
17 -70
17 -68
17 -69
17 -69
17 -67
17 -72
17 -70
17 -70
17 -70
17 -71
18 -83
19 -84
19 -81
19 -81
19 -84
19 -81
19 -80
20 -79
20 -78
20 -79
20 -78
20 -78
20 -78
20 -78
20 -82
20 -80
20 -85
20 -80
21 -74
21 -76
21 -77
21 -76
21 -76
21 -77
21 -78
21 -76
21 -71
21 -75
21 -82
21 -82
21 -80
21 -82
21 -82
21 -84
21 -80
21 -82
21 -80
21 -76
21 -76
21 -78
21 -81
21 -78
21 -73
21 -77
21 -75
21 -75
21 -76
21 -75
21 -78
22 -71
22 -74
22 -73
22 -75
22 -73
22 -72
22 -73
22 -72
22 -76
22 -77
22 -76
22 -71
22 -72
22 -70
22 -74
22 -73
22 -73
22 -76
22 -73
22 -75
22 -75
22 -76
22 -75
22 -76
22 -75
22 -75
22 -73
22 -71
22 -73
22 -75
22 -72
22 -73
22 -73
22 -72
22 -72
22 -72
22 -69
22 -72
22 -73
22 -73
22 -74
22 -73
22 -75
22 -73
22 -72
22 -72
22 -72
22 -72
22 -71
22 -72
22 -71
22 -73
22 -73
22 -72
22 -75
22 -71
22 -70
22 -71
22 -72
22 -70
22 -70
23 -64
23 -62
23 -64
23 -62
23 -63
23 -61
23 -61
23 -60
23 -62
23 -62
23 -62
23 -63
23 -61
23 -61
23 -61
23 -61
23 -61
23 -62
23 -62
23 -62
23 -60
23 -60
23 -60
23 -60
23 -60
23 -63
23 -63
23 -63
23 -62
23 -63
23 -63
23 -64
23 -64
23 -63
23 -61
23 -61
23 -58
23 -62
23 -61
23 -61
23 -61
23 -61
23 -60
23 -61
23 -60
23 -62
23 -62
23 -62
23 -61
23 -62
23 -62
23 -65
23 -62
23 -63
23 -63
24 -63
24 -65
24 -65
24 -66
24 -67
24 -64
24 -67
24 -64
24 -66
24 -66
24 -64
24 -68
24 -67
24 -67
24 -66
24 -66
24 -66
24 -68
24 -66
24 -67
24 -66
24 -67
24 -67
24 -67
24 -67
24 -74
24 -66
24 -66
24 -74
24 -66
24 -66
24 -64
24 -63
24 -63
24 -62
24 -62
24 -63
24 -64
24 -64
24 -65
24 -65
24 -64
24 -63
24 -64
24 -64
24 -64
24 -64
24 -64
24 -65
24 -66
24 -66
24 -64
24 -64
24 -66
24 -65
24 -64
24 -64
24 -64
24 -64
24 -64
25 -84
26 -77
26 -75
26 -76
26 -75
26 -75
26 -75
26 -75
26 -75
26 -74
26 -74
26 -76
26 -76
26 -77
26 -76
26 -76
26 -76
26 -76
26 -76
26 -76
26 -74
26 -76
26 -75
26 -76
26 -75
26 -75
26 -75
26 -76
26 -76
26 -76
26 -76
26 -76
26 -78
26 -77
26 -76
26 -76
26 -76
26 -76
26 -75
26 -75
26 -76
26 -76
26 -76
26 -75
26 -76
26 -76
26 -76
26 -78
26 -77
26 -76
27 -71
27 -71
27 -71
27 -72
27 -71
27 -70
27 -72
27 -72
27 -72
27 -71
27 -73
27 -72
27 -72
27 -72
27 -72
27 -72
27 -72
27 -72
27 -72
27 -72
27 -73
27 -72
27 -72
27 -72
27 -72
27 -72
27 -71
27 -70
27 -72
27 -71
27 -71
27 -72
27 -72
27 -70
27 -72
27 -72
27 -71
27 -72
27 -72
27 -74
27 -70
27 -71
27 -71
27 -70
27 -70
27 -70
27 -70
27 -72
27 -70
27 -71
27 -72
27 -71
27 -72
27 -72
27 -73
27 -73
27 -72
27 -74
28 -81
28 -79
28 -77
28 -76
28 -77
28 -78
28 -78
28 -81
28 -80
28 -82
28 -77
28 -80
28 -82
28 -79
28 -78
28 -78
28 -76
28 -76
28 -77
28 -78
28 -78
28 -79
28 -77
28 -80
28 -79
28 -78
28 -82
28 -77
28 -76
28 -79
28 -79
28 -83
28 -83
28 -82
29 -77
29 -76
29 -79
29 -78
29 -80
29 -78
29 -79
29 -79
29 -78
29 -78
29 -79
29 -77
29 -78
29 -78
29 -79
29 -78
29 -78
29 -78
29 -78
29 -77
29 -76
29 -77
29 -77
29 -77
29 -77
29 -78
29 -83
29 -78
29 -70
29 -78
29 -75
29 -77
29 -76
29 -77
29 -79
29 -78
29 -76
29 -76
29 -76
29 -78
29 -76
29 -83
29 -80
30 -78
30 -75
30 -78
30 -77
30 -76
30 -75
30 -77
30 -76
30 -76
30 -76
30 -76
30 -75
30 -76
30 -77
30 -78
30 -76
30 -78
30 -78
30 -78
