Beacon Rssi
1 -78
1 -78
1 -79
1 -78
1 -78
1 -79
1 -79
1 -79
1 -78
1 -79
1 -78
1 -76
1 -78
1 -78
1 -78
1 -78
1 -81
1 -77
1 -81
1 -80
1 -82
1 -78
1 -85
1 -81
1 -81
1 -82
1 -85
1 -80
1 -84
1 -83
1 -83
2 -79
2 -78
2 -81
2 -84
2 -82
2 -83
2 -78
2 -79
2 -82
2 -82
2 -83
2 -82
2 -83
2 -82
2 -81
2 -82
2 -81
2 -81
2 -83
2 -81
2 -80
2 -77
2 -77
2 -76
2 -81
2 -80
2 -79
2 -81
2 -80
2 -83
3 -83
3 -83
4 -84
4 -83
4 -84
4 -82
4 -82
4 -82
4 -83
4 -83
4 -83
4 -83
4 -83
4 -83
4 -84
5 -84
5 -84
5 -83
5 -84
5 -85
5 -85
5 -84
5 -84
5 -81
5 -84
5 -84
5 -84
5 -83
5 -83
5 -83
5 -83
5 -83
5 -83
5 -84
5 -83
5 -83
5 -81
5 -82
5 -82
5 -80
5 -84
6 -84
6 -84
6 -83
6 -83
6 -85
6 -83
6 -83
6 -83
6 -84
6 -82
6 -83
6 -82
6 -84
6 -84
6 -82
6 -83
16 -85
18 -86
19 -86
19 -79
19 -82
19 -81
19 -84
19 -84
19 -84
19 -83
19 -83
19 -84
19 -85
19 -86
19 -85
19 -84
19 -86
19 -86
19 -84
21 -75
21 -75
21 -76
21 -76
21 -75
21 -75
21 -77
21 -77
21 -76
21 -77
21 -76
21 -76
21 -76
21 -75
21 -76
21 -78
21 -77
21 -76
21 -78
21 -78
21 -76
21 -77
21 -77
21 -76
21 -76
21 -76
21 -76
21 -76
21 -76
21 -75
21 -75
21 -75
21 -75
21 -76
21 -76
21 -75
21 -76
21 -79
21 -77
21 -76
21 -60
21 -76
21 -77
21 -77
21 -76
21 -76
21 -76
21 -76
21 -76
21 -76
21 -76
21 -76
21 -76
21 -74
21 -75
21 -76
21 -77
21 -75
21 -76
21 -76
21 -78
21 -80
21 -79
21 -79
21 -79
21 -78
21 -77
21 -76
21 -76
21 -77
21 -76
21 -76
21 -76
21 -75
21 -76
21 -76
21 -75
21 -75
21 -74
21 -74
21 -73
22 -80
22 -81
22 -79
22 -79
22 -79
22 -78
22 -80
22 -81
22 -78
22 -83
22 -75
22 -77
22 -75
22 -82
22 -79
22 -82
22 -81
22 -78
22 -78
22 -81
22 -80
22 -81
22 -80
22 -80
22 -81
22 -78
22 -78
22 -80
22 -79
22 -81
22 -79
22 -80
22 -82
22 -81
22 -79
22 -79
22 -77
22 -77
22 -73
22 -78
22 -80
22 -82
22 -78
22 -76
22 -81
22 -83
22 -82
22 -81
23 -73
23 -72
23 -73
23 -73
23 -73
23 -72
23 -72
23 -72
23 -72
23 -73
23 -72
23 -72
23 -72
23 -72
23 -72
23 -73
23 -73
23 -72
23 -72
23 -72
23 -72
23 -73
23 -73
23 -73
23 -76
23 -76
23 -80
23 -78
23 -76
23 -77
23 -76
23 -77
23 -77
23 -76
23 -76
23 -76
23 -79
23 -82
23 -78
23 -78
23 -77
23 -78
23 -76
23 -76
23 -76
23 -76
23 -77
23 -78
23 -77
23 -76
23 -76
23 -78
23 -78
23 -78
23 -78
23 -77
23 -76
23 -76
23 -78
23 -79
23 -79
23 -80
23 -80
23 -80
23 -79
23 -80
23 -81
23 -79
23 -80
23 -78
23 -78
23 -78
23 -78
23 -77
23 -77
23 -77
23 -78
23 -78
23 -79
23 -78
24 -69
24 -69
24 -70
24 -70
24 -69
24 -69
24 -69
24 -70
24 -69
24 -69
24 -69
24 -68
24 -68
24 -69
24 -69
24 -68
24 -69
24 -69
24 -69
24 -69
24 -70
24 -69
24 -69
24 -69
24 -73
24 -72
24 -69
24 -72
24 -71
24 -71
24 -69
24 -67
24 -68
24 -69
24 -70
24 -69
24 -69
24 -64
24 -69
24 -70
24 -71
24 -71
24 -71
24 -72
24 -72
24 -50
24 -72
24 -70
24 -68
24 -70
24 -70
24 -69
24 -70
24 -70
24 -70
24 -71
24 -70
24 -70
24 -69
24 -69
24 -69
24 -69
24 -72
24 -73
24 -72
24 -71
24 -70
24 -70
24 -70
24 -71
24 -71
24 -71
24 -72
24 -73
24 -63
24 -72
24 -72
24 -71
24 -71
24 -72
24 -72
24 -72
24 -73
24 -72
24 -73
24 -72
24 -72
25 -73
25 -74
25 -74
25 -72
25 -72
25 -73
25 -73
25 -74
25 -74
25 -75
25 -74
25 -74
25 -74
25 -75
25 -74
25 -73
25 -72
25 -72
25 -74
25 -73
25 -74
25 -70
25 -62
25 -77
25 -77
25 -70
25 -70
25 -70
25 -70
25 -70
25 -71
25 -71
25 -70
25 -71
25 -70
25 -72
25 -72
25 -71
25 -70
25 -71
25 -76
25 -77
25 -74
25 -72
25 -71
25 -71
25 -70
25 -71
25 -71
25 -72
25 -70
25 -70
25 -71
25 -71
25 -70
25 -70
25 -70
25 -70
25 -72
25 -70
25 -70
25 -70
25 -70
25 -71
25 -72
25 -74
25 -73
25 -72
25 -72
25 -73
25 -73
25 -75
25 -77
25 -71
25 -72
25 -73
25 -72
25 -71
25 -70
25 -70
25 -70
25 -70
25 -70
25 -70
25 -71
25 -72
25 -72
26 -69
26 -69
26 -69
26 -70
26 -70
26 -70
26 -70
26 -70
26 -70
26 -70
26 -69
26 -69
26 -70
26 -70
26 -70
26 -70
26 -69
26 -70
26 -71
26 -70
26 -70
26 -69
26 -68
26 -66
26 -64
26 -66
26 -68
26 -68
26 -67
26 -66
26 -67
26 -66
26 -68
26 -66
26 -67
26 -65
26 -64
26 -65
26 -66
26 -67
26 -66
26 -64
26 -64
26 -66
26 -68
26 -68
26 -66
26 -66
26 -70
26 -68
26 -69
26 -70
26 -69
26 -68
26 -68
26 -67
26 -66
26 -67
26 -67
26 -66
26 -65
26 -66
26 -66
26 -69
26 -66
26 -66
26 -66
26 -66
26 -69
26 -73
26 -71
26 -70
26 -72
26 -70
26 -68
26 -64
26 -69
26 -65
26 -69
26 -72
26 -70
26 -65
26 -64
26 -64
26 -63
26 -63
26 -62
26 -61
26 -60
27 -82
27 -83
27 -84
27 -83
27 -82
27 -78
27 -77
27 -79
27 -79
27 -76
27 -78
27 -80
27 -78
27 -74
27 -80
27 -78
27 -78
27 -82
27 -80
27 -78
27 -78
27 -77
27 -77
27 -76
27 -77
27 -76
27 -76
27 -76
27 -81
27 -81
27 -76
27 -76
27 -77
27 -78
27 -78
27 -79
27 -79
27 -79
27 -78
27 -78
27 -77
27 -76
27 -76
27 -77
27 -76
27 -78
27 -80
27 -80
27 -78
27 -85
27 -83
27 -76
27 -76
27 -75
27 -76
27 -76
27 -76
27 -76
27 -75
27 -75
27 -74
27 -74
27 -74
27 -73
28 -82
28 -82
28 -83
28 -82
28 -81
28 -82
28 -84
28 -83
28 -80
28 -78
28 -78
28 -83
28 -82
28 -83
28 -83
28 -83
28 -84
28 -83
28 -80
28 -78
28 -78
28 -78
28 -78
28 -78
28 -78
28 -79
28 -79
28 -79
28 -81
28 -80
28 -83
28 -78
28 -82
28 -79
28 -78
28 -77
28 -76
28 -76
28 -76
28 -76
29 -84
30 -86
30 -85
30 -84
30 -83
30 -84
30 -86
30 -84
31 -85
32 -85
32 -84
32 -84
32 -84
32 -83
32 -84
32 -84
32 -85
41 -85
42 -84
42 -83
42 -85
42 -86
42 -84
43 -82
43 -84
44 -84
44 -84
44 -84
44 -86
44 -83
44 -86
44 -78
44 -85
44 -81
44 -82
44 -84
44 -83
44 -85
44 -83
44 -85
45 -84
46 -83
46 -83
46 -83
46 -83
46 -82
46 -83
46 -84
46 -82
46 -82
46 -83
46 -81
46 -84
46 -81
46 -85
46 -82
46 -84
46 -79
46 -79
46 -76
46 -75
47 -83
47 -84
47 -82
47 -84
47 -82
47 -83
47 -83
47 -82
